Benchmark,Replacement Type,Cache config,IPC value,Missrate
go,LRU,dl2_64_64_16,0.3187,0.2504
go,LRU,dl2_64_64_32,0.3959,0.1621
go,LRU,dl2_64_64_4,0.2010,0.5000
go,LRU,dl2_64_64_8,0.2509,0.3762
go,PLRU,dl2_1024_64_16_p_9_12,1.1643,0.0062
go,PLRU,dl2_1024_64_32_p_17_24,1.1643,0.0062
go,PLRU,dl2_1024_64_4_p_3_3,0.7828,0.0447
go,PLRU,dl2_1024_64_8_p_5_6,1.1637,0.0062
go,PLRU,dl2_128_64_16_p_9_12,0.4729,0.1309
go,PLRU,dl2_128_64_32_p_17_24,0.9894,0.0218
go,PLRU,dl2_128_64_4_p_3_3,0.2161,0.4264
go,PLRU,dl2_128_64_8_p_5_6,0.2841,0.2921
go,PLRU,dl2_256_64_16_p_9_12,1.0515,0.0151
go,PLRU,dl2_256_64_32_p_17_24,1.0897,0.0120
go,PLRU,dl2_256_64_4_p_3_3,0.2923,0.2876
go,PLRU,dl2_256_64_8_p_5_6,0.4695,0.1317
go,PLRU,dl2_32_64_16_p_9_12,0.2090,0.4198
go,PLRU,dl2_32_64_32_p_17_24,0.2736,0.2965
go,PLRU,dl2_32_64_4_p_3_3,0.1522,0.5935
go,PLRU,dl2_32_64_8_p_5_6,0.1754,0.5133
go,PLRU,dl2_512_64_16_p_9_12,1.1418,0.0078
go,PLRU,dl2_512_64_32_p_17_24,1.1418,0.0078
go,PLRU,dl2_512_64_4_p_3_3,0.4553,0.1405
go,PLRU,dl2_512_64_8_p_5_6,1.0400,0.0157
go,PLRU,dl2_64_64_16_p_9_12,0.2754,0.2946
go,PLRU,dl2_64_64_32_p_17_24,0.4786,0.1305
go,PLRU,dl2_64_64_4_p_3_3,0.1732,0.5198
go,PLRU,dl2_64_64_8_p_5_6,0.2071,0.4267
go,SCORE,dl2_1024_64_16,1.1778,0.0052
go,SCORE,dl2_1024_64_32,1.1736,0.0055
go,SCORE,dl2_1024_64_4,0.7795,0.0456
go,SCORE,dl2_1024_64_8,1.1730,0.0056
go,SCORE,dl2_128_64_16,0.4941,0.1193
go,SCORE,dl2_128_64_32,0.7236,0.0566
go,SCORE,dl2_128_64_4,0.2152,0.4291
go,SCORE,dl2_128_64_8,0.2710,0.3134
go,SCORE,dl2_256_64_16,1.0406,0.0160
go,SCORE,dl2_256_64_32,1.0597,0.0144
go,SCORE,dl2_256_64_4,0.2875,0.2975
go,SCORE,dl2_256_64_8,0.4680,0.1332
go,SCORE,dl2_32_64_16,0.2057,0.4338
go,SCORE,dl2_32_64_32,0.2361,0.3661
go,SCORE,dl2_32_64_4,0.1531,0.5903
go,SCORE,dl2_32_64_8,0.1760,0.5127
go,SCORE,dl2_512_64_16,1.1377,0.0081
go,SCORE,dl2_512_64_32,1.1408,0.0079
go,SCORE,dl2_512_64_4,0.4487,0.1454
go,SCORE,dl2_512_64_8,1.0620,0.0139
go,SCORE,dl2_64_64_16,0.2731,0.2997
go,SCORE,dl2_64_64_32,0.3869,0.1819
go,SCORE,dl2_64_64_4,0.1754,0.5139
go,SCORE,dl2_64_64_8,0.2035,0.4372
ijpeg,LRU,dl2_1024_64_16,1.8464,0.0513
ijpeg,LRU,dl2_1024_64_32,1.8464,0.0513
ijpeg,LRU,dl2_1024_64_4,1.8463,0.0513
ijpeg,LRU,dl2_1024_64_8,1.8464,0.0513
ijpeg,LRU,dl2_128_64_16,1.8318,0.0562
ijpeg,LRU,dl2_128_64_32,1.8464,0.0513
ijpeg,LRU,dl2_128_64_4,1.5787,0.2426
ijpeg,LRU,dl2_128_64_8,1.7668,0.0950
ijpeg,LRU,dl2_256_64_16,1.8463,0.0513
ijpeg,LRU,dl2_256_64_32,1.8464,0.0513
ijpeg,LRU,dl2_256_64_4,1.7271,0.1126
ijpeg,LRU,dl2_256_64_8,1.8330,0.0560
ijpeg,LRU,dl2_32_64_16,1.6110,0.2042
ijpeg,LRU,dl2_32_64_32,1.7666,0.0961
ijpeg,LRU,dl2_32_64_4,1.4027,0.4207
ijpeg,LRU,dl2_32_64_8,1.4866,0.3207
ijpeg,LRU,dl2_512_64_16,1.8464,0.0513
ijpeg,LRU,dl2_512_64_32,1.8464,0.0513
ijpeg,LRU,dl2_512_64_4,1.8328,0.0564
ijpeg,LRU,dl2_512_64_8,1.8463,0.0513
ijpeg,LRU,dl2_64_64_16,1.7690,0.0947
ijpeg,LRU,dl2_64_64_32,1.8461,0.0515
ijpeg,LRU,dl2_64_64_4,1.4482,0.3671
ijpeg,LRU,dl2_64_64_8,1.6175,0.1964
ijpeg,PLRU,dl2_1024_64_16_p_9_12,1.8450,0.0518
ijpeg,PLRU,dl2_1024_64_32_p_17_24,1.8450,0.0518
ijpeg,PLRU,dl2_1024_64_4_p_3_3,1.8450,0.0518
ijpeg,PLRU,dl2_1024_64_8_p_5_6,1.8450,0.0518
ijpeg,PLRU,dl2_128_64_16_p_9_12,1.8025,0.0699
ijpeg,PLRU,dl2_128_64_32_p_17_24,1.8261,0.0602
ijpeg,PLRU,dl2_128_64_4_p_3_3,1.4118,0.3221
ijpeg,PLRU,dl2_128_64_8_p_5_6,1.6874,0.1236
ijpeg,PLRU,dl2_256_64_16_p_9_12,1.8370,0.0556
ijpeg,PLRU,dl2_256_64_32_p_17_24,1.8370,0.0556
ijpeg,PLRU,dl2_256_64_4_p_3_3,1.6958,0.1350
ijpeg,PLRU,dl2_256_64_8_p_5_6,1.8228,0.0607
ijpeg,PLRU,dl2_32_64_16_p_9_12,1.3114,0.3281
ijpeg,PLRU,dl2_32_64_32_p_17_24,1.4970,0.2100
ijpeg,PLRU,dl2_32_64_4_p_3_3,1.0190,0.6058
ijpeg,PLRU,dl2_32_64_8_p_5_6,1.0866,0.5329
ijpeg,PLRU,dl2_512_64_16_p_9_12,1.8425,0.0525
ijpeg,PLRU,dl2_512_64_32_p_17_24,1.8425,0.0525
ijpeg,PLRU,dl2_512_64_4_p_3_3,1.8298,0.0574
ijpeg,PLRU,dl2_512_64_8_p_5_6,1.8425,0.0525
ijpeg,PLRU,dl2_64_64_16_p_9_12,1.6461,0.1387
